state,rainfall,elevation,population_density,coastal_distance,historical_index,risk_level
West Bengal,11.04,17.22,47.11,0.0,62.93,high
Maharashtra,62.79,21.21,52.0,11.88,23.69,high
Jharkhand,7.68,18.96,71.0,59.55,48.92,medium
Maharashtra,80.85,27.42,15.92,0.0,86.47,high
Rajasthan,58.93,12.19,58.12,100.0,47.23,high
Gujarat,1.5,21.15,34.36,0.0,85.22,high
Telangana,43.56,42.75,58.78,89.87,23.79,medium
Odisha,34.56,0.0,84.93,36.79,63.44,high
Odisha,36.37,0.0,76.7,0.0,14.18,high
Kerala,38.54,35.19,19.0,2.95,25.13,medium
Gujarat,30.44,42.95,87.94,8.87,47.24,high
Andhra Pradesh,76.33,25.91,62.45,0.0,58.56,critical
Jharkhand,45.1,23.69,80.34,100.0,30.0,high
West Bengal,11.27,0.0,65.08,23.78,29.79,high
Assam,56.06,24.48,63.98,74.15,35.75,high
Rajasthan,30.7,38.29,30.33,58.01,74.91,medium
Gujarat,45.61,20.92,83.42,18.51,39.92,high
Jharkhand,26.29,35.61,87.02,100.0,84.04,medium
Assam,71.35,26.28,69.67,49.4,66.74,high
Gujarat,44.31,23.4,83.38,0.0,81.0,critical
West Bengal,54.98,7.31,71.43,31.25,7.97,high
Andhra Pradesh,50.68,39.11,72.44,38.61,51.51,high
Bihar,84.38,32.66,93.78,77.36,24.91,high
West Bengal,11.26,0.0,63.17,0.0,48.85,high
Kerala,70.64,35.13,78.1,21.77,32.35,high
Karnataka,38.56,30.75,56.4,0.0,24.84,high
Maharashtra,88.62,24.95,56.35,22.6,55.44,critical
Tamil Nadu,18.61,17.08,90.65,0.0,65.9,high
West Bengal,40.45,0.0,55.06,47.71,90.57,high
Rajasthan,57.54,7.61,58.15,100.0,73.29,high
Kerala,92.47,29.0,59.09,0.0,35.77,critical
Kerala,79.5,31.95,74.82,37.27,63.82,critical
UP,60.77,4.48,100.0,58.23,24.65,critical
Karnataka,57.04,34.96,86.99,1.22,92.12,critical
MP,49.75,28.46,100.0,100.0,24.08,high
West Bengal,43.73,6.99,58.95,0.0,42.94,high
Bihar,56.1,0.0,71.29,78.23,28.75,high
Andhra Pradesh,58.55,57.3,45.09,19.16,27.14,high
Bihar,67.06,25.7,62.93,79.22,92.17,high
West Bengal,60.65,0.0,82.01,0.0,43.7,critical
Jharkhand,52.33,26.83,46.18,38.86,17.14,high
UP,24.21,13.12,69.66,76.75,0.0,medium
West Bengal,86.3,0.0,90.67,0.0,49.64,critical
Gujarat,92.78,11.45,69.75,16.95,85.77,critical
Gujarat,17.82,0.0,100.0,23.68,57.65,high
Gujarat,66.47,18.86,56.86,0.0,79.53,critical
Andhra Pradesh,47.01,17.3,97.82,22.92,2.44,high
Odisha,100.0,37.94,68.26,0.31,75.8,critical
Telangana,15.51,7.36,77.17,83.81,21.4,medium
West Bengal,73.91,35.29,57.13,13.4,77.86,critical
UP,83.61,0.0,83.79,93.31,46.65,critical
Kerala,54.45,34.9,94.9,19.55,19.64,high
Odisha,45.16,38.16,72.06,0.0,61.44,high
Jharkhand,32.59,48.62,66.95,84.24,67.78,medium
Bihar,32.76,6.65,64.03,83.52,39.82,high
Andhra Pradesh,55.63,32.41,41.04,42.26,33.7,high
Gujarat,83.79,4.53,42.58,23.03,92.7,critical
Gujarat,27.3,19.43,75.74,3.47,29.67,high
Bihar,80.93,13.92,82.76,50.75,74.7,critical
MP,50.37,19.57,72.8,91.66,46.16,high
UP,39.25,9.73,43.52,84.84,26.31,medium
Odisha,66.4,1.08,74.55,0.0,17.87,critical
Gujarat,66.88,15.22,56.95,0.0,47.1,critical
Rajasthan,77.87,34.99,61.93,86.2,47.24,high
Maharashtra,94.04,22.6,65.21,0.0,84.7,critical
Bihar,60.94,10.33,71.69,100.0,20.11,high
Andhra Pradesh,31.45,19.64,71.7,0.0,37.54,high
Andhra Pradesh,49.18,7.03,36.66,3.42,47.75,high
Maharashtra,94.77,45.32,30.45,19.29,53.79,high
Rajasthan,59.26,23.95,54.69,55.93,29.89,high
Telangana,81.86,51.97,89.53,59.09,58.65,high
Odisha,49.31,19.75,69.92,2.44,27.83,high
Telangana,40.73,21.71,93.28,87.61,75.2,high
Tamil Nadu,66.45,29.57,68.03,0.0,29.04,high
Tamil Nadu,57.93,47.33,81.01,8.6,33.14,high
Rajasthan,40.9,14.38,80.95,43.47,29.81,high
Telangana,90.23,39.6,72.92,100.0,34.22,high
Odisha,86.18,25.21,100.0,14.15,68.79,critical
Gujarat,34.84,29.83,52.5,0.0,35.48,high
Kerala,51.51,45.93,42.47,8.88,77.08,high
Tamil Nadu,39.38,0.0,48.37,28.13,74.1,high
Gujarat,46.8,9.08,46.77,0.0,26.68,high
Telangana,33.78,1.64,55.77,71.73,68.08,high
Assam,44.76,16.8,72.43,57.4,61.29,high
Maharashtra,93.72,25.59,72.01,0.35,35.35,critical
Andhra Pradesh,73.42,2.64,73.93,35.17,32.32,critical
West Bengal,31.59,17.1,52.79,18.22,59.66,high
UP,36.65,19.47,74.11,100.0,96.78,high
Karnataka,43.57,40.75,60.32,0.0,47.25,high
Maharashtra,69.86,27.44,77.23,0.0,78.2,critical
Rajasthan,36.9,17.85,75.54,100.0,59.87,high
Kerala,94.21,22.54,63.88,0.0,30.59,critical
Jharkhand,18.97,62.18,100.0,91.98,0.0,medium
Tamil Nadu,54.21,47.44,78.51,25.09,42.24,high
Telangana,34.86,11.2,94.78,78.72,100.0,high
Gujarat,52.84,0.0,48.02,27.83,41.23,high
Gujarat,36.79,63.27,64.99,27.56,49.6,medium
Odisha,65.15,7.04,100.0,16.98,9.72,critical
Telangana,50.7,30.27,66.66,86.45,63.25,high
Tamil Nadu,56.42,5.28,79.45,0.0,65.05,critical
Gujarat,92.69,6.54,68.65,17.71,63.66,critical
UP,26.58,9.78,61.35,60.4,40.37,high
Telangana,37.47,8.44,61.28,51.66,62.08,high
Jharkhand,67.1,32.32,61.0,77.53,51.85,high
Maharashtra,74.8,45.27,91.28,1.24,39.16,critical
Kerala,50.54,46.35,98.28,3.64,14.99,high
Maharashtra,54.68,46.12,85.51,0.0,69.88,high
Tamil Nadu,34.65,24.28,70.57,0.0,53.11,high
UP,76.46,0.0,28.0,44.7,46.43,high
Rajasthan,56.18,0.0,15.86,80.84,28.94,high
Gujarat,43.92,0.0,79.12,33.39,93.29,critical
Assam,77.73,29.59,73.09,35.93,62.87,critical
Rajasthan,17.98,8.37,55.96,100.0,0.0,medium
Jharkhand,43.72,34.47,50.46,73.44,0.0,medium
Telangana,31.98,21.15,63.79,97.06,86.38,high
Andhra Pradesh,71.73,38.6,75.76,0.0,0.0,high
Odisha,60.28,21.1,44.39,73.37,69.65,high
Karnataka,42.36,52.34,53.05,43.46,31.07,medium
MP,69.71,35.59,61.88,70.2,50.54,high
Maharashtra,54.24,21.45,38.11,0.0,5.55,high
Assam,88.9,33.59,86.15,25.48,36.39,critical
UP,73.37,37.28,61.85,62.21,48.54,high
UP,100.0,2.5,43.84,93.57,11.85,high
Maharashtra,79.14,43.54,87.99,0.0,51.44,critical
Tamil Nadu,100.0,19.95,87.63,24.91,45.81,critical
Assam,14.84,18.9,61.9,37.24,85.92,high
Maharashtra,56.51,31.96,38.93,11.53,50.84,high
Assam,4.33,20.6,97.47,98.66,0.0,medium
Assam,91.57,39.02,34.75,47.11,47.5,high
West Bengal,18.43,12.23,55.1,0.0,30.1,high
Rajasthan,75.67,36.07,48.77,100.0,51.65,high
Kerala,36.6,35.94,67.46,0.33,24.97,high
Rajasthan,57.62,52.56,51.06,75.65,56.6,medium
MP,49.33,41.83,58.97,76.97,82.01,high
Maharashtra,20.14,59.41,76.66,13.68,37.08,medium
Kerala,55.93,74.1,64.37,11.07,79.41,high
Odisha,77.63,0.0,82.4,48.0,36.41,critical
Bihar,34.84,35.55,64.52,100.0,35.41,medium
Bihar,100.0,26.4,79.6,100.0,27.08,high
Karnataka,94.64,43.96,71.45,17.06,64.15,critical
Gujarat,31.82,0.0,43.17,17.53,31.22,high
UP,51.36,36.83,38.92,100.0,69.57,medium
MP,100.0,44.99,40.0,89.46,85.86,high
Telangana,58.66,25.05,37.97,69.66,78.17,high
West Bengal,13.93,21.11,73.49,0.0,62.2,high
UP,46.31,8.85,46.76,69.84,72.92,high
Tamil Nadu,55.19,38.27,61.57,11.19,0.82,high
MP,30.77,58.77,70.15,37.87,19.05,medium
West Bengal,38.88,14.88,43.05,11.19,39.81,high
Odisha,62.78,0.0,33.5,15.62,15.21,high
Karnataka,71.86,19.8,63.88,44.6,62.3,high
Telangana,21.38,34.48,71.89,94.36,24.37,medium
Kerala,73.02,36.47,29.43,0.44,49.02,high
Assam,63.46,33.6,93.65,17.44,89.48,critical
Andhra Pradesh,42.5,39.42,84.49,16.14,47.97,high
Kerala,57.56,20.31,87.93,0.0,9.96,critical
Odisha,24.99,24.82,67.9,30.19,69.0,high
Maharashtra,91.01,56.3,61.37,15.96,21.31,high
Andhra Pradesh,58.12,19.0,61.26,0.0,71.97,critical
UP,52.01,31.06,25.34,59.23,42.12,medium
Maharashtra,67.22,42.1,40.55,22.27,55.37,high
UP,65.85,9.91,55.62,94.81,55.02,high
Telangana,50.64,13.47,37.63,78.65,47.99,high
Telangana,48.16,37.47,74.7,68.59,17.05,high
Karnataka,100.0,54.76,56.46,12.5,17.83,high
Andhra Pradesh,100.0,39.02,61.03,2.06,8.56,critical
Maharashtra,27.25,48.15,66.65,33.09,76.25,high
Maharashtra,79.36,38.86,41.4,0.0,50.16,high
UP,85.23,0.0,8.03,94.48,8.92,high
Gujarat,73.62,30.07,83.39,0.0,17.99,critical
Kerala,80.34,46.9,47.22,0.0,85.48,critical
Gujarat,39.28,0.86,59.38,7.06,100.0,critical
Maharashtra,87.4,18.8,11.93,0.0,63.93,critical
West Bengal,37.24,0.0,67.66,0.0,0.0,high
Telangana,46.15,26.46,79.66,49.26,50.06,high
Gujarat,73.19,4.2,78.08,12.15,10.47,critical
UP,55.14,31.54,45.78,72.92,33.0,high
Karnataka,46.37,22.97,62.52,2.81,24.93,high
Tamil Nadu,36.59,10.56,71.24,0.0,45.12,high
Karnataka,62.11,12.57,100.0,0.0,50.57,critical
Gujarat,64.59,17.37,34.27,10.43,48.61,high
MP,45.13,43.19,72.11,100.0,42.27,medium
West Bengal,37.34,0.8,59.7,8.32,61.92,high
Telangana,70.73,36.03,84.62,49.92,58.64,high
Maharashtra,53.04,50.18,56.2,50.62,50.69,high
Gujarat,64.74,35.14,74.86,0.0,91.18,critical
UP,56.13,14.18,66.0,91.73,22.77,high
Gujarat,95.05,28.35,71.77,0.0,24.63,critical
MP,20.58,43.12,78.69,89.75,39.4,medium
Jharkhand,74.73,42.78,62.25,57.06,42.26,high
Maharashtra,64.32,12.66,98.76,0.0,57.08,critical
Telangana,17.84,11.93,59.37,94.49,56.5,medium
Bihar,30.99,40.18,39.1,68.78,26.99,medium
Assam,90.24,0.0,28.46,23.57,28.01,critical
Telangana,40.81,24.52,63.1,75.88,52.65,high
Odisha,46.4,0.0,92.93,25.8,63.62,critical
Assam,31.21,31.92,90.75,51.63,39.59,high
Rajasthan,46.4,12.32,85.28,89.05,44.65,high
MP,75.24,68.19,57.75,92.39,100.0,high
Assam,59.59,23.46,51.88,69.78,64.4,high
Bihar,72.59,17.14,82.79,71.02,78.34,critical
Andhra Pradesh,83.44,13.05,84.83,4.3,47.56,critical
Rajasthan,21.52,25.07,65.12,52.56,39.4,medium
UP,36.57,0.0,91.19,62.85,62.4,high
Telangana,90.73,41.42,56.24,64.22,12.75,high
Assam,47.89,22.67,29.16,78.01,78.87,high
Bihar,48.87,0.0,100.0,86.32,47.63,high
Tamil Nadu,41.15,21.31,62.73,16.48,46.66,high
Andhra Pradesh,91.49,28.36,15.78,15.01,43.12,high
MP,59.31,48.02,52.04,86.56,63.61,medium
UP,65.07,26.85,76.37,100.0,19.38,high
Karnataka,87.26,58.75,70.55,26.91,26.07,high
Andhra Pradesh,53.06,26.3,31.46,7.84,40.66,high
Telangana,22.48,42.69,57.05,66.83,100.0,medium
Tamil Nadu,49.13,3.41,90.93,0.0,51.27,critical
Tamil Nadu,25.45,24.29,43.13,17.84,92.66,high
Andhra Pradesh,78.64,10.64,78.39,0.0,9.6,critical
Telangana,54.81,27.6,84.36,68.77,100.0,high
Gujarat,59.33,10.2,74.76,6.53,54.85,critical
Gujarat,56.05,11.05,65.63,6.8,97.03,critical
Maharashtra,69.14,4.74,48.21,0.0,31.12,critical
Gujarat,43.94,30.82,55.92,14.59,65.51,high
Telangana,37.59,14.34,81.84,82.98,48.75,high
Kerala,47.54,45.11,55.35,27.0,31.33,high
Karnataka,72.65,64.09,57.72,16.37,24.36,high
Assam,68.87,18.45,64.77,56.93,60.13,high
Andhra Pradesh,78.76,0.0,74.5,32.52,69.41,critical
Kerala,28.18,53.35,41.3,0.0,38.8,medium
UP,45.0,44.65,43.35,77.21,62.58,medium
Andhra Pradesh,77.45,15.95,100.0,17.06,67.1,critical
Assam,98.94,22.55,84.21,77.94,82.17,critical
West Bengal,78.52,5.7,93.82,0.0,64.23,critical
Tamil Nadu,66.97,14.78,56.33,2.1,74.99,critical
UP,88.32,19.6,54.89,86.88,62.71,high
Telangana,15.77,18.48,55.0,50.73,42.69,medium
Odisha,34.08,21.94,64.31,33.84,38.41,high
Rajasthan,98.25,0.0,50.1,100.0,40.0,high
Andhra Pradesh,67.38,20.63,64.43,17.66,77.65,critical
West Bengal,68.29,18.0,85.35,26.47,33.64,critical
Gujarat,36.93,23.22,43.71,0.0,39.15,high
Bihar,90.31,3.73,65.9,64.92,92.12,critical
West Bengal,36.43,19.89,26.14,14.68,56.17,high
Jharkhand,12.94,0.0,51.65,73.73,83.11,high
Bihar,42.95,24.28,51.11,86.49,58.42,medium
West Bengal,1.53,0.0,42.02,0.0,100.0,high
Tamil Nadu,90.9,22.77,75.63,25.24,73.09,critical
Telangana,90.62,33.82,74.01,67.74,50.73,high
Gujarat,50.47,30.53,28.43,0.0,84.11,high
West Bengal,69.42,0.88,41.21,9.97,65.49,critical
Gujarat,43.81,17.82,57.07,3.64,82.46,high
Maharashtra,20.02,22.64,78.38,0.0,64.24,high
Karnataka,61.28,69.05,86.65,0.0,71.36,high
Telangana,79.78,17.86,100.0,86.0,44.69,critical
Telangana,38.46,30.6,100.0,56.95,65.42,high
West Bengal,63.02,8.9,46.68,0.0,70.06,critical
Bihar,73.24,14.23,54.18,73.83,50.02,high
Gujarat,30.04,6.14,74.85,2.72,43.97,high
Bihar,75.95,13.75,58.96,100.0,85.97,high
Bihar,84.21,9.04,92.48,92.53,91.68,critical
Telangana,100.0,42.9,68.17,63.05,25.58,high
Rajasthan,82.99,9.46,46.91,100.0,74.74,high
Assam,87.59,0.0,63.97,57.17,47.21,critical
West Bengal,60.41,0.0,90.32,40.37,33.53,critical
Karnataka,28.92,72.36,69.64,15.07,39.34,medium
Bihar,29.23,18.76,60.86,91.88,8.06,medium
Telangana,73.9,34.25,41.87,82.76,54.67,high
Maharashtra,79.09,32.23,77.8,23.82,30.28,critical
Tamil Nadu,99.99,0.0,66.3,0.0,32.48,critical
Bihar,37.33,0.0,47.64,68.79,39.5,high
Maharashtra,7.49,8.41,66.87,0.0,11.96,high
Rajasthan,99.67,13.36,58.87,100.0,77.71,critical
Bihar,40.31,44.9,100.0,84.71,71.82,high
Kerala,78.08,13.41,70.82,32.35,61.63,critical
Jharkhand,54.14,56.99,65.46,100.0,30.58,medium
Andhra Pradesh,17.75,27.41,74.76,0.0,42.11,high
Assam,55.34,30.22,64.88,40.84,44.41,high
Bihar,84.27,14.37,78.86,55.06,53.67,critical
MP,100.0,59.3,55.59,100.0,97.78,high
MP,68.34,58.86,85.81,100.0,100.0,high
Bihar,55.85,11.92,67.06,68.88,44.28,high
UP,23.9,5.33,59.53,65.27,33.05,high
Assam,44.93,6.27,37.57,97.52,63.53,high
Gujarat,59.21,7.89,45.77,22.95,73.17,high
Kerala,17.0,48.0,42.43,22.67,62.56,medium
Tamil Nadu,8.25,20.44,54.52,0.0,58.86,high
Kerala,93.62,47.52,57.63,0.0,42.11,critical
Karnataka,66.85,52.04,60.45,0.0,71.56,high
Tamil Nadu,10.8,13.73,41.18,8.18,79.63,high
Andhra Pradesh,30.49,17.85,68.23,6.53,39.25,high
Gujarat,0.0,52.63,75.75,26.47,31.94,medium
Andhra Pradesh,31.65,0.0,44.16,3.95,75.24,high
Assam,100.0,8.48,61.48,59.48,77.13,critical
Andhra Pradesh,67.73,17.44,63.46,0.0,6.53,high
UP,12.47,49.51,57.89,80.78,48.93,medium
Karnataka,26.69,17.1,100.0,24.23,47.74,high
West Bengal,85.81,21.66,77.33,14.56,14.13,critical
Assam,40.8,35.75,100.0,94.89,58.08,high
Gujarat,13.97,11.35,48.56,0.0,29.42,high
Tamil Nadu,56.7,7.83,62.58,0.0,14.94,high
MP,87.39,54.41,74.61,100.0,74.18,high
Tamil Nadu,89.84,18.77,81.3,0.0,81.66,critical
Gujarat,26.64,9.98,92.11,3.9,61.53,high
Odisha,3.98,0.0,67.08,13.31,15.98,high
Gujarat,91.38,21.93,73.86,0.88,50.38,critical
Kerala,47.08,22.48,65.85,0.0,6.44,high
UP,75.37,28.85,100.0,85.14,42.27,high
Odisha,39.29,6.06,62.23,49.55,30.22,high
Gujarat,46.09,4.26,46.15,10.8,33.61,high
UP,49.42,17.86,75.32,100.0,13.28,high
Telangana,56.73,40.65,71.29,59.23,34.21,high
Rajasthan,49.96,24.5,61.57,77.28,22.26,high
Odisha,15.48,8.42,68.06,42.58,17.6,high
MP,88.9,43.57,39.09,68.83,47.83,high
Gujarat,37.39,27.82,50.92,0.0,37.36,high
Andhra Pradesh,67.56,41.65,46.51,30.53,27.96,high
Kerala,65.96,33.47,60.74,0.0,77.53,critical
Andhra Pradesh,60.46,29.11,64.15,25.74,61.61,high
Kerala,56.82,43.43,42.4,33.46,44.95,high
Telangana,64.5,33.23,69.91,82.45,88.53,high
Andhra Pradesh,30.56,11.96,73.72,25.15,99.33,high
Andhra Pradesh,7.8,7.66,48.37,0.0,69.29,high
Jharkhand,95.24,34.56,100.0,97.04,41.19,high
Rajasthan,26.79,17.39,80.3,100.0,37.73,medium
Karnataka,39.79,39.21,83.74,0.0,29.53,high
Assam,60.52,8.39,60.72,51.29,63.05,high
Kerala,28.59,23.86,48.28,15.83,40.32,high
Jharkhand,48.65,54.04,50.59,100.0,36.43,medium
Telangana,59.92,0.0,80.2,48.02,32.12,critical
MP,59.96,34.17,70.72,74.1,31.33,high
Maharashtra,82.02,0.0,68.04,13.98,21.35,critical
Kerala,75.02,54.5,32.48,24.07,42.15,high
Gujarat,50.71,8.61,68.4,0.54,55.51,critical
West Bengal,68.83,16.55,48.34,54.8,30.41,high
Karnataka,29.17,60.08,50.09,20.94,0.0,medium
MP,65.64,33.63,57.15,73.27,67.67,high
Karnataka,32.46,48.41,81.4,0.0,17.58,high
Odisha,82.41,5.83,30.71,51.21,56.13,high
UP,76.28,24.0,81.43,83.35,29.11,high
UP,84.26,8.94,100.0,81.89,63.21,critical
Kerala,85.4,52.53,100.0,0.0,76.99,critical
Odisha,38.41,0.0,76.04,24.7,57.48,high
Odisha,72.53,0.0,35.87,0.0,39.85,critical
Kerala,62.51,8.12,61.92,13.98,68.71,critical
Kerala,82.69,38.17,52.06,0.0,40.87,high
Andhra Pradesh,13.07,36.78,38.0,0.0,52.6,medium
MP,47.65,57.99,56.16,73.41,80.62,medium
Maharashtra,54.28,35.02,84.71,47.65,30.04,high
Maharashtra,65.81,1.6,54.69,15.46,53.33,critical
Karnataka,78.5,19.82,86.46,11.07,76.65,critical
West Bengal,35.04,0.0,85.19,0.0,61.8,critical
West Bengal,53.44,0.0,70.64,31.32,53.46,critical
West Bengal,87.61,0.0,72.75,18.08,51.73,critical
Jharkhand,6.44,36.11,89.32,81.61,54.33,medium
Karnataka,46.85,30.85,100.0,22.66,27.06,high
Andhra Pradesh,76.39,8.71,26.87,19.43,62.62,high
Karnataka,53.68,47.65,58.87,15.31,52.86,high
MP,70.33,33.93,63.23,66.44,34.82,high
Karnataka,21.56,44.91,71.35,43.82,59.31,medium
Maharashtra,47.43,19.23,69.23,0.0,65.76,high
MP,91.71,52.53,83.77,99.46,71.64,high
Rajasthan,44.26,0.0,99.56,85.98,33.08,high
Kerala,53.5,7.53,65.63,27.5,51.76,high
Tamil Nadu,73.05,0.0,35.85,0.0,32.79,critical
Assam,51.31,15.47,68.52,58.26,38.66,high
Bihar,50.22,9.72,79.15,75.07,40.42,high
Andhra Pradesh,58.06,10.8,60.68,33.73,6.25,high
Maharashtra,59.61,34.9,95.42,20.01,6.08,high
Andhra Pradesh,52.62,0.0,71.89,6.27,54.81,critical
West Bengal,42.57,0.0,65.19,0.0,33.99,high
Rajasthan,34.99,16.37,71.03,100.0,69.67,high
Jharkhand,30.82,56.5,93.12,74.17,77.06,high
Karnataka,64.17,33.76,71.67,22.28,97.48,critical
Bihar,44.95,9.71,34.5,76.21,44.04,high
Andhra Pradesh,68.74,7.1,8.98,0.0,56.24,high
Jharkhand,67.4,40.57,81.89,79.02,27.76,high
Rajasthan,100.0,2.71,49.96,87.94,62.91,critical
Tamil Nadu,63.16,0.02,64.78,18.07,57.39,critical
Andhra Pradesh,63.76,52.17,63.17,30.27,36.72,high
Maharashtra,56.35,46.49,61.3,11.99,78.33,high
Telangana,56.86,44.71,61.87,100.0,53.16,medium
Telangana,45.49,20.46,100.0,58.56,82.16,high
Maharashtra,41.22,29.78,63.34,0.0,73.76,high
Karnataka,40.8,30.4,44.28,47.75,42.93,high
Maharashtra,36.62,72.88,65.35,23.87,50.65,medium
Andhra Pradesh,69.72,0.0,47.72,0.0,70.45,critical
Odisha,83.88,5.7,63.15,20.18,40.74,critical
Jharkhand,72.84,52.78,52.02,97.59,76.79,high
Telangana,56.13,44.68,99.29,89.38,48.34,high
Kerala,98.82,40.56,78.14,17.2,78.62,critical
Maharashtra,50.67,61.96,42.43,28.02,28.44,medium
UP,69.21,25.13,78.36,92.2,30.08,high
Kerala,75.19,23.64,52.11,9.58,2.31,high
Rajasthan,71.98,4.36,67.26,95.2,99.38,high
Tamil Nadu,54.87,11.85,42.97,30.99,32.54,high
MP,25.27,63.2,71.28,84.83,68.97,medium
Bihar,34.8,6.7,83.11,79.61,52.36,high
Odisha,47.54,0.06,56.86,5.6,28.2,high
Telangana,14.91,46.21,55.61,81.86,71.01,medium
Odisha,78.22,12.53,60.84,6.8,65.93,critical
Assam,68.84,6.44,35.6,94.83,55.69,high
Jharkhand,31.91,19.15,56.94,67.87,90.04,high
Karnataka,100.0,35.29,82.75,7.25,49.81,critical
Karnataka,41.16,18.66,75.09,6.29,46.17,high
Odisha,44.2,0.0,82.82,0.0,19.8,critical
UP,60.16,27.11,97.61,80.41,37.08,high
Karnataka,84.29,48.9,46.81,0.0,91.01,critical
Telangana,24.01,6.53,63.45,58.28,88.93,high
Rajasthan,40.5,33.49,74.86,96.07,34.34,medium
UP,95.58,14.67,93.02,81.66,56.08,critical
West Bengal,22.7,0.0,50.88,39.5,71.54,high
UP,91.64,0.0,63.97,81.76,82.94,critical
Andhra Pradesh,45.7,4.07,54.98,0.0,40.59,high
Assam,32.5,0.81,85.06,89.54,47.75,high
Karnataka,78.29,48.49,70.8,32.45,0.0,high
Telangana,72.66,37.05,72.47,96.53,63.33,high
Karnataka,24.22,32.85,62.14,36.37,91.76,high
Assam,62.39,13.26,86.85,100.0,12.28,high
Tamil Nadu,77.06,9.52,61.7,0.0,62.61,critical
Telangana,47.09,56.69,74.54,50.8,36.07,high
Bihar,28.4,10.49,39.03,72.4,74.39,high
Maharashtra,49.23,57.03,61.9,37.56,58.11,high
Andhra Pradesh,52.06,34.77,31.61,17.2,48.46,high
Jharkhand,10.57,10.36,54.53,100.0,61.24,medium
Gujarat,50.71,20.43,57.74,37.96,40.03,high
UP,71.26,0.0,80.5,100.0,63.59,high
Karnataka,49.53,52.13,92.14,4.76,40.13,high
UP,26.91,0.0,99.59,82.75,50.36,high
Gujarat,22.81,0.0,77.6,50.64,48.47,high
MP,18.0,69.63,74.84,79.05,41.05,medium
West Bengal,96.75,11.07,59.94,22.55,7.92,critical
Bihar,59.37,18.9,42.8,67.91,69.03,high
Karnataka,69.75,27.8,29.29,58.01,31.98,high
Andhra Pradesh,11.82,8.05,77.34,21.91,83.99,high
West Bengal,57.17,0.0,73.04,0.0,55.61,critical
Odisha,47.33,39.97,38.86,21.48,85.36,high
Odisha,78.16,6.42,68.34,0.0,57.12,critical
Andhra Pradesh,38.95,25.3,35.36,0.0,69.58,high
Maharashtra,29.51,53.9,84.44,0.0,45.55,high
Telangana,58.86,18.56,86.83,50.9,54.64,high
Jharkhand,62.49,5.24,65.0,67.63,87.96,high
Assam,30.57,3.56,85.27,89.35,35.21,high
MP,64.89,28.92,100.0,51.23,20.09,high
Gujarat,35.89,18.54,72.86,0.0,39.15,high
Rajasthan,61.63,40.02,65.93,71.32,47.77,high
Telangana,83.82,11.69,66.88,78.3,76.4,critical
West Bengal,70.62,0.0,59.09,36.66,50.62,critical
MP,63.46,41.48,74.17,69.77,54.7,high
Tamil Nadu,63.02,33.07,30.59,0.91,75.3,high
Kerala,13.01,19.29,71.96,21.16,37.96,high
MP,62.61,21.31,63.01,62.88,37.11,high
Andhra Pradesh,52.57,0.0,51.61,5.05,18.94,high
Bihar,44.33,5.7,49.26,100.0,41.21,high
Telangana,34.81,45.36,73.57,84.51,58.27,medium
Gujarat,37.42,41.9,78.82,29.55,26.25,high
Bihar,6.31,28.39,67.06,93.15,57.85,medium
Andhra Pradesh,43.93,9.45,67.21,15.02,42.13,high
Karnataka,69.92,49.63,52.34,37.97,40.93,high
Bihar,24.68,15.69,43.06,86.15,58.16,medium
UP,42.87,44.66,82.4,93.77,16.12,medium
MP,42.94,51.02,84.34,57.28,57.37,high
Andhra Pradesh,59.93,25.87,60.82,9.79,31.48,high
West Bengal,82.13,55.96,75.53,14.99,71.52,critical
Bihar,78.98,0.0,76.29,100.0,3.1,high
Rajasthan,76.19,7.79,54.23,88.21,35.26,high
Odisha,20.31,0.0,83.88,0.0,81.56,critical
West Bengal,63.98,5.27,100.0,0.0,73.44,critical
Andhra Pradesh,42.19,12.37,72.64,23.12,0.0,high
Gujarat,39.09,14.05,53.85,4.28,44.32,high
Kerala,17.08,21.61,56.67,29.32,53.71,high
Jharkhand,66.43,38.04,82.07,83.17,98.36,high
MP,55.77,35.57,49.71,67.63,15.27,medium
Kerala,52.58,35.04,49.21,0.0,100.0,high
Odisha,8.7,28.85,70.9,26.22,37.37,medium
Tamil Nadu,14.39,10.25,36.6,0.0,70.02,high
UP,63.1,19.19,37.37,72.2,26.54,high
Telangana,43.98,36.28,78.85,70.49,48.04,high
Rajasthan,55.29,34.31,78.4,100.0,26.71,high
Odisha,38.81,35.96,53.83,0.0,10.93,high
Odisha,98.79,12.45,85.18,6.42,75.54,critical
Bihar,34.33,19.52,66.71,72.21,100.0,high
Tamil Nadu,73.76,14.24,38.27,6.98,62.37,critical
Kerala,53.3,46.69,66.1,12.81,37.12,high
West Bengal,53.83,0.0,43.47,28.13,53.81,high
Gujarat,36.49,37.41,85.84,0.0,41.42,high
Assam,14.42,0.0,84.49,80.96,76.69,high
West Bengal,46.12,27.27,68.6,9.15,11.09,high
Bihar,82.87,30.79,72.54,95.66,35.77,high
Kerala,64.23,35.58,63.03,0.0,69.39,high
Rajasthan,100.0,15.77,73.13,82.03,54.34,critical
Assam,89.63,0.0,58.77,81.55,93.74,critical
MP,52.91,23.78,39.66,82.95,40.69,medium
Odisha,48.53,17.1,89.69,29.72,25.85,high
Bihar,27.83,14.44,41.89,63.96,59.06,medium
